,default_code,oecd_country_codes,country_n
1,AUS,AUS,1
2,AT,AUT,2
3,BE,BEL,3
4,CAN,CAN,4
5,CHL,CHL,5
6,COL,COL,6
7,CRI,CRI,7
8,CZ,CZE,8
9,DK,DNK,9
10,EE,EST,10
11,FI,FIN,11
12,FR,FRA,12
13,DE,DEU,13
14,EL,GRC,14
15,HU,HUN,15
16,IS,ISL,16
17,IE,IRL,17
18,ISR,ISR,18
19,IT,ITA,19
20,JP,JPN,20
21,KOR,KOR,21
22,LV,LVA,22
23,LT,LTU,23
24,LU,LUX,24
25,MEX,MEX,25
26,NL,NLD,26
27,NZL,NZL,27
28,NO,NOR,28
29,PL,POL,29
30,PT,PRT,30
31,SK,SVK,31
32,SI,SVN,32
33,ES,ESP,33
34,SE,SWE,34
35,CH,CHE,35
36,TR,TUR,36
37,GBR,GBR,37
38,US,USA,38
