Table 1: Approved Canada Emergency Wage Subsidy (CEWS) Claims by Province/Territory of Business Address,,,,,,,,
,,,,,,,,
Claim Period,Province or Territory,Applications Approved Since Launch,Number of Eligible Employees (Line A),Number of Eligible Employees on Leave with Pay (Line AA),Number of Employees Supported by the Program (Line A + Line AA),CEWS Amount Approved Since Launch,Average CEWS Amount per Employee,Percent Distribution of Approved Applications for Each Claim Period
"P01: March 15, 2020 to April 11, 2020",Newfoundland and Labrador,3030,32190,-,32190,59579000,1851,0.01
"P01: March 15, 2020 to April 11, 2020",Prince Edward Island,1260,13370,-,13370,21665000,1620,0
"P01: March 15, 2020 to April 11, 2020",Nova Scotia,5630,71150,-,71150,131357000,1846,0.02
"P01: March 15, 2020 to April 11, 2020",New Brunswick,5110,60700,-,60700,117436000,1935,0.02
"P01: March 15, 2020 to April 11, 2020",Quebec,54420,696020,-,696020,1391156000,1999,0.21
"P01: March 15, 2020 to April 11, 2020",Ontario,100160,1542030,-,1542030,3193890000,2071,0.38
"P01: March 15, 2020 to April 11, 2020",Manitoba,7630,129360,-,129360,267976000,2072,0.03
"P01: March 15, 2020 to April 11, 2020",Saskatchewan,7350,70630,-,70630,142240000,2014,0.03
"P01: March 15, 2020 to April 11, 2020",Alberta,38080,512960,-,512960,1206516000,2352,0.14
"P01: March 15, 2020 to April 11, 2020",British Columbia,41150,466760,-,466760,953393000,2043,0.16
"P01: March 15, 2020 to April 11, 2020",Yukon,290,4400,-,4400,10217000,2322,0
"P01: March 15, 2020 to April 11, 2020",Northwest Territories,250,3200,-,3200,7068000,2209,0
"P01: March 15, 2020 to April 11, 2020",Nunavut,70,740,-,740,1586000,2143,0
"P01: March 15, 2020 to April 11, 2020",Missing,440,47880,-,47880,81225000,1696,0
"P01: March 15, 2020 to April 11, 2020",All Canada,264870,3651400,-,3651400,7585302000,2077,1
"P02: April 12, 2020 to May 9, 2020",Newfoundland and Labrador,3350,30990,-,30990,67558000,2180,0.01
"P02: April 12, 2020 to May 9, 2020",Prince Edward Island,1420,12940,-,12940,25752000,1990,0
"P02: April 12, 2020 to May 9, 2020",Nova Scotia,6540,71200,-,71200,154264000,2167,0.02
"P02: April 12, 2020 to May 9, 2020",New Brunswick,5810,69820,-,69820,148127000,2122,0.02
"P02: April 12, 2020 to May 9, 2020",Quebec,70040,876690,-,876690,2015423000,2299,0.23
"P02: April 12, 2020 to May 9, 2020",Ontario,112120,1610030,-,1610030,3872415000,2405,0.37
"P02: April 12, 2020 to May 9, 2020",Manitoba,8690,134470,-,134470,311670000,2318,0.03
"P02: April 12, 2020 to May 9, 2020",Saskatchewan,8290,77200,-,77200,178905000,2317,0.03
"P02: April 12, 2020 to May 9, 2020",Alberta,42610,543870,-,543870,1396648000,2568,0.14
"P02: April 12, 2020 to May 9, 2020",British Columbia,46310,511830,-,511830,1115135000,2179,0.15
"P02: April 12, 2020 to May 9, 2020",Yukon,330,4450,-,4450,10962000,2463,0
"P02: April 12, 2020 to May 9, 2020",Northwest Territories,260,2950,-,2950,7250000,2458,0
"P02: April 12, 2020 to May 9, 2020",Nunavut,70,690,-,690,1652000,2394,0
"P02: April 12, 2020 to May 9, 2020",Missing,510,32730,-,32730,79348000,2424,0
"P02: April 12, 2020 to May 9, 2020",All Canada,306340,3979850,-,3979850,9385110000,2358,1
"P03: May 10, 2020 to June 6, 2020",Newfoundland and Labrador,3300,36520,-,36520,83495000,2286,0.01
"P03: May 10, 2020 to June 6, 2020",Prince Edward Island,1620,17390,-,17390,34937000,2009,0.01
"P03: May 10, 2020 to June 6, 2020",Nova Scotia,6830,77690,-,77690,167543000,2157,0.02
"P03: May 10, 2020 to June 6, 2020",New Brunswick,6370,75400,-,75400,165416000,2194,0.02
"P03: May 10, 2020 to June 6, 2020",Quebec,75350,1058170,-,1058170,2487119000,2350,0.24
"P03: May 10, 2020 to June 6, 2020",Ontario,110040,1669130,-,1669130,3989769000,2390,0.36
"P03: May 10, 2020 to June 6, 2020",Manitoba,8310,176850,-,176850,317453000,1795,0.03
"P03: May 10, 2020 to June 6, 2020",Saskatchewan,8030,75160,-,75160,171047000,2276,0.03
"P03: May 10, 2020 to June 6, 2020",Alberta,42370,563750,-,563750,1435090000,2546,0.14
"P03: May 10, 2020 to June 6, 2020",British Columbia,45980,515210,-,515210,1124119000,2182,0.15
"P03: May 10, 2020 to June 6, 2020",Yukon,320,4220,-,4220,10502000,2489,0
"P03: May 10, 2020 to June 6, 2020",Northwest Territories,250,2740,-,2740,6940000,2533,0
"P03: May 10, 2020 to June 6, 2020",Nunavut,60,580,-,580,1456000,2510,0
"P03: May 10, 2020 to June 6, 2020",Missing,500,39650,-,39650,87935000,2218,0
"P03: May 10, 2020 to June 6, 2020",All Canada,309330,4312460,-,4312460,10082821000,2338,1
"P04: June 7, 2020 to July 4, 2020",Newfoundland and Labrador,3170,37900,-,37900,88120000,2325,0.01
"P04: June 7, 2020 to July 4, 2020",Prince Edward Island,1630,18730,-,18730,37016000,1976,0.01
"P04: June 7, 2020 to July 4, 2020",Nova Scotia,6310,78950,-,78950,163573000,2072,0.02
"P04: June 7, 2020 to July 4, 2020",New Brunswick,5790,67900,-,67900,152597000,2247,0.02
"P04: June 7, 2020 to July 4, 2020",Quebec,67310,978940,-,978940,2205213000,2253,0.24
"P04: June 7, 2020 to July 4, 2020",Ontario,102360,1635570,-,1635570,3745795000,2290,0.36
"P04: June 7, 2020 to July 4, 2020",Manitoba,7020,119990,-,119990,269989000,2250,0.02
"P04: June 7, 2020 to July 4, 2020",Saskatchewan,7180,73470,-,73470,161247000,2195,0.03
"P04: June 7, 2020 to July 4, 2020",Alberta,39080,620920,-,620920,1383496000,2228,0.14
"P04: June 7, 2020 to July 4, 2020",British Columbia,41730,483350,-,483350,1069540000,2213,0.15
"P04: June 7, 2020 to July 4, 2020",Yukon,280,4350,-,4350,10568000,2429,0
"P04: June 7, 2020 to July 4, 2020",Northwest Territories,230,2850,-,2850,7170000,2516,0
"P04: June 7, 2020 to July 4, 2020",Nunavut,50,840,-,840,2108000,2510,0
"P04: June 7, 2020 to July 4, 2020",Missing,440,35590,-,35590,77882000,2188,0
"P04: June 7, 2020 to July 4, 2020",All Canada,282580,4159370,-,4159370,9374313000,2254,1
"P05: July 5, 2020 to August 1, 2020",Newfoundland and Labrador,3420,46680,240,46920,80577000,1717,0.01
"P05: July 5, 2020 to August 1, 2020",Prince Edward Island,1590,22530,80,22600,33644000,1489,0.01
"P05: July 5, 2020 to August 1, 2020",Nova Scotia,6380,96010,3150,99160,156980000,1583,0.02
"P05: July 5, 2020 to August 1, 2020",New Brunswick,6120,89920,200,90120,134475000,1492,0.02
"P05: July 5, 2020 to August 1, 2020",Quebec,72940,1300580,16660,1317250,1943047000,1475,0.24
"P05: July 5, 2020 to August 1, 2020",Ontario,107870,2066390,26250,2092650,3468438000,1657,0.36
"P05: July 5, 2020 to August 1, 2020",Manitoba,7560,152900,1310,154210,263127000,1706,0.03
"P05: July 5, 2020 to August 1, 2020",Saskatchewan,7610,96970,990,97960,165066000,1685,0.03
"P05: July 5, 2020 to August 1, 2020",Alberta,40800,650010,11610,661620,1339598000,2025,0.14
"P05: July 5, 2020 to August 1, 2020",British Columbia,42840,603820,6970,610790,1043072000,1708,0.14
"P05: July 5, 2020 to August 1, 2020",Yukon,300,4920,110,5030,7969000,1584,0
"P05: July 5, 2020 to August 1, 2020",Northwest Territories,210,3310,40,3350,7004000,2091,0
"P05: July 5, 2020 to August 1, 2020",Nunavut,60,1130,20,1150,2295000,1996,0
"P05: July 5, 2020 to August 1, 2020",Missing,450,49850,290,50140,60369000,1204,0
"P05: July 5, 2020 to August 1, 2020",All Canada,298140,5185030,67910,5252950,8705662000,1657,1
"P06: August 2, 2020 to August 29, 2020",Newfoundland and Labrador,3430,49210,280,49490,76037000,1536,0.01
"P06: August 2, 2020 to August 29, 2020",Prince Edward Island,1560,22800,30,22820,32782000,1437,0.01
"P06: August 2, 2020 to August 29, 2020",Nova Scotia,6130,94610,2770,97380,142138000,1460,0.02
"P06: August 2, 2020 to August 29, 2020",New Brunswick,6010,93240,210,93450,132598000,1419,0.02
"P06: August 2, 2020 to August 29, 2020",Quebec,73110,1291340,11890,1303220,1877739000,1441,0.25
"P06: August 2, 2020 to August 29, 2020",Ontario,107660,2128360,23470,2151840,3120903000,1450,0.36
"P06: August 2, 2020 to August 29, 2020",Manitoba,7590,150090,1150,151240,244179000,1615,0.03
"P06: August 2, 2020 to August 29, 2020",Saskatchewan,7650,99270,790,100050,149844000,1498,0.03
