LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,GDP,TOT,MLN_USD,A,1960,25073.26,
AUS,GDP,TOT,MLN_USD,A,1961,25364.881,
AUS,GDP,TOT,MLN_USD,A,1962,27955.357,
AUS,GDP,TOT,MLN_USD,A,1963,30432.979,
AUS,GDP,TOT,MLN_USD,A,1964,32745.289,
AUS,GDP,TOT,MLN_USD,A,1965,34542.337,
AUS,GDP,TOT,MLN_USD,A,1966,38344.554,
AUS,GDP,TOT,MLN_USD,A,1967,41068.684,
AUS,GDP,TOT,MLN_USD,A,1968,46560.927,
AUS,GDP,TOT,MLN_USD,A,1969,52215.402,
AUS,GDP,TOT,MLN_USD,A,1970,58858.348,
AUS,GDP,TOT,MLN_USD,A,1971,64135.621,
AUS,GDP,TOT,MLN_USD,A,1972,69807.498,
AUS,GDP,TOT,MLN_USD,A,1973,78843.21,
AUS,GDP,TOT,MLN_USD,A,1974,86323.114,
AUS,GDP,TOT,MLN_USD,A,1975,96857.536,
AUS,GDP,TOT,MLN_USD,A,1976,104288.925,
AUS,GDP,TOT,MLN_USD,A,1977,110276.099,
AUS,GDP,TOT,MLN_USD,A,1978,123342.206,
AUS,GDP,TOT,MLN_USD,A,1979,137980.996,
AUS,GDP,TOT,MLN_USD,A,1980,155037.413,
AUS,GDP,TOT,MLN_USD,A,1981,178292.325,
AUS,GDP,TOT,MLN_USD,A,1982,181931.974,
AUS,GDP,TOT,MLN_USD,A,1983,196533.518,
AUS,GDP,TOT,MLN_USD,A,1984,211772.911,
AUS,GDP,TOT,MLN_USD,A,1985,228924.227,
AUS,GDP,TOT,MLN_USD,A,1986,240015.947,
AUS,GDP,TOT,MLN_USD,A,1987,260935.759,
AUS,GDP,TOT,MLN_USD,A,1988,282917.818,
AUS,GDP,TOT,MLN_USD,A,1989,299621.594,
AUS,GDP,TOT,MLN_USD,A,1990,304183.457,
AUS,GDP,TOT,MLN_USD,A,1991,313970.385,
AUS,GDP,TOT,MLN_USD,A,1992,334473.269,
AUS,GDP,TOT,MLN_USD,A,1993,355559.8,
AUS,GDP,TOT,MLN_USD,A,1994,380993.407,
AUS,GDP,TOT,MLN_USD,A,1995,403410.089,
AUS,GDP,TOT,MLN_USD,A,1996,424062.042,
AUS,GDP,TOT,MLN_USD,A,1997,450299.854,
AUS,GDP,TOT,MLN_USD,A,1998,477686.538,
AUS,GDP,TOT,MLN_USD,A,1999,510213.964,
AUS,GDP,TOT,MLN_USD,A,2000,538603.652,
AUS,GDP,TOT,MLN_USD,A,2001,569787.095,
AUS,GDP,TOT,MLN_USD,A,2002,600460.974,
AUS,GDP,TOT,MLN_USD,A,2003,638022.66,
AUS,GDP,TOT,MLN_USD,A,2004,676954.659,
AUS,GDP,TOT,MLN_USD,A,2005,719149.954,
AUS,GDP,TOT,MLN_USD,A,2006,774966.901,
AUS,GDP,TOT,MLN_USD,A,2007,825988.747,
AUS,GDP,TOT,MLN_USD,A,2008,852201.51,
AUS,GDP,TOT,MLN_USD,A,2009,903166.382,
AUS,GDP,TOT,MLN_USD,A,2010,943179.751,
AUS,GDP,TOT,MLN_USD,A,2011,992556.359,
AUS,GDP,TOT,MLN_USD,A,2012,997622.794,
AUS,GDP,TOT,MLN_USD,A,2013,1104642.029,
AUS,GDP,TOT,MLN_USD,A,2014,1117534.426,
AUS,GDP,TOT,MLN_USD,A,2015,1124892.295,
AUS,GDP,TOT,MLN_USD,A,2016,1213189.412,
AUS,GDP,TOT,MLN_USD,A,2017,1247296.036,
AUS,GDP,TOT,MLN_USD,A,2018,1323601.791,
AUS,GDP,TOT,MLN_USD,A,2019,1335998.074,
AUS,GDP,TOT,MLN_USD,A,2020,1429458.63,
AUS,GDP,TOT,MLN_USD,A,2021,1559098.199,E
AUS,GDP,TOT,USD_CAP,A,1960,2412.764873,
AUS,GDP,TOT,USD_CAP,A,1961,2383.322879,
AUS,GDP,TOT,USD_CAP,A,1962,2577.466847,
AUS,GDP,TOT,USD_CAP,A,1963,2752.750121,
AUS,GDP,TOT,USD_CAP,A,1964,2902.84077,
AUS,GDP,TOT,USD_CAP,A,1965,3002.269627,
AUS,GDP,TOT,USD_CAP,A,1966,3275.956286,
AUS,GDP,TOT,USD_CAP,A,1967,3447.600076,
AUS,GDP,TOT,USD_CAP,A,1968,3833.569009,
AUS,GDP,TOT,USD_CAP,A,1969,4208.470157,
AUS,GDP,TOT,USD_CAP,A,1970,4647.884995,
AUS,GDP,TOT,USD_CAP,A,1971,4859.355514,
AUS,GDP,TOT,USD_CAP,A,1972,5205.906397,
AUS,GDP,TOT,USD_CAP,A,1973,5791.18689,
AUS,GDP,TOT,USD_CAP,A,1974,6240.836577,
AUS,GDP,TOT,USD_CAP,A,1975,6933.807827,
AUS,GDP,TOT,USD_CAP,A,1976,7391.079675,
AUS,GDP,TOT,USD_CAP,A,1977,7721.586926,
AUS,GDP,TOT,USD_CAP,A,1978,8547.13182,
AUS,GDP,TOT,USD_CAP,A,1979,9449.147412,
AUS,GDP,TOT,USD_CAP,A,1980,10470.28694,
AUS,GDP,TOT,USD_CAP,A,1981,11947.24526,
AUS,GDP,TOT,USD_CAP,A,1982,11981.66345,
AUS,GDP,TOT,USD_CAP,A,1983,12767.30554,
AUS,GDP,TOT,USD_CAP,A,1984,13593.13648,
AUS,GDP,TOT,USD_CAP,A,1985,14499.61219,
AUS,GDP,TOT,USD_CAP,A,1986,14983.76535,
AUS,GDP,TOT,USD_CAP,A,1987,16043.86148,
AUS,GDP,TOT,USD_CAP,A,1988,17113.13789,
AUS,GDP,TOT,USD_CAP,A,1989,17819.34495,
AUS,GDP,TOT,USD_CAP,A,1990,17824.88572,
AUS,GDP,TOT,USD_CAP,A,1991,18165.37749,
AUS,GDP,TOT,USD_CAP,A,1992,19136.159,
AUS,GDP,TOT,USD_CAP,A,1993,20162.39481,
AUS,GDP,TOT,USD_CAP,A,1994,21397.51238,
AUS,GDP,TOT,USD_CAP,A,1995,22405.57233,
AUS,GDP,TOT,USD_CAP,A,1996,23268.40581,
AUS,GDP,TOT,USD_CAP,A,1997,24442.26533,
AUS,GDP,TOT,USD_CAP,A,1998,25671.58245,
AUS,GDP,TOT,USD_CAP,A,1999,27121.29636,
AUS,GDP,TOT,USD_CAP,A,2000,28304.65674,
AUS,GDP,TOT,USD_CAP,A,2001,29561.39887,
AUS,GDP,TOT,USD_CAP,A,2002,30800.45213,
AUS,GDP,TOT,USD_CAP,A,2003,32352.94183,
AUS,GDP,TOT,USD_CAP,A,2004,33962.01514,
AUS,GDP,TOT,USD_CAP,A,2005,35642.41871,
AUS,GDP,TOT,USD_CAP,A,2006,37893.839,
AUS,GDP,TOT,USD_CAP,A,2007,39658.37385,
AUS,GDP,TOT,USD_CAP,A,2008,40105.1103,
AUS,GDP,TOT,USD_CAP,A,2009,41636.49607,
AUS,GDP,TOT,USD_CAP,A,2010,42809.92706,
AUS,GDP,TOT,USD_CAP,A,2011,44429.55951,
AUS,GDP,TOT,USD_CAP,A,2012,43883.37889,
AUS,GDP,TOT,USD_CAP,A,2013,47761.90126,
AUS,GDP,TOT,USD_CAP,A,2014,47603.88088,
AUS,GDP,TOT,USD_CAP,A,2015,47232.62912,
AUS,GDP,TOT,USD_CAP,A,2016,50150.6522,
AUS,GDP,TOT,USD_CAP,A,2017,50699.17511,
AUS,GDP,TOT,USD_CAP,A,2018,52980.73433,
AUS,GDP,TOT,USD_CAP,A,2019,52669.4739,
