LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
OECD,QGDP,TOT,PC_CHGPP,A,1962,5.707334503,
OECD,QGDP,TOT,PC_CHGPP,A,1963,5.23024895,
OECD,QGDP,TOT,PC_CHGPP,A,1964,6.371930603,
OECD,QGDP,TOT,PC_CHGPP,A,1965,5.342145367,
OECD,QGDP,TOT,PC_CHGPP,A,1966,5.783101172,
OECD,QGDP,TOT,PC_CHGPP,A,1967,3.975943588,
OECD,QGDP,TOT,PC_CHGPP,A,1968,5.933873142,
OECD,QGDP,TOT,PC_CHGPP,A,1969,5.582739862,
OECD,QGDP,TOT,PC_CHGPP,A,1970,3.951848941,
OECD,QGDP,TOT,PC_CHGPP,A,1971,3.705934351,
OECD,QGDP,TOT,PC_CHGPP,A,1972,5.477070028,
OECD,QGDP,TOT,PC_CHGPP,A,1973,6.112303014,
OECD,QGDP,TOT,PC_CHGPP,A,1974,1.048425989,
OECD,QGDP,TOT,PC_CHGPP,A,1975,0.460333645,
OECD,QGDP,TOT,PC_CHGPP,A,1976,4.909745857,
OECD,QGDP,TOT,PC_CHGPP,A,1977,3.678544254,
OECD,QGDP,TOT,PC_CHGPP,A,1978,4.425168524,
OECD,QGDP,TOT,PC_CHGPP,A,1979,3.902359705,
OECD,QGDP,TOT,PC_CHGPP,A,1980,1.283047397,
OECD,QGDP,TOT,PC_CHGPP,A,1981,2.272154751,
OECD,QGDP,TOT,PC_CHGPP,A,1982,0.212870612,
OECD,QGDP,TOT,PC_CHGPP,A,1983,2.831167934,
OECD,QGDP,TOT,PC_CHGPP,A,1984,4.774997192,
OECD,QGDP,TOT,PC_CHGPP,A,1985,3.864380832,
OECD,QGDP,TOT,PC_CHGPP,A,1986,2.895289001,
OECD,QGDP,TOT,PC_CHGPP,A,1987,3.610481859,
OECD,QGDP,TOT,PC_CHGPP,A,1988,4.602970411,
OECD,QGDP,TOT,PC_CHGPP,A,1989,3.864752338,
OECD,QGDP,TOT,PC_CHGPP,A,1990,3.219539882,
OECD,QGDP,TOT,PC_CHGPP,A,1991,1.46333436,
OECD,QGDP,TOT,PC_CHGPP,A,1992,2.252119327,
OECD,QGDP,TOT,PC_CHGPP,A,1993,1.489039186,
OECD,QGDP,TOT,PC_CHGPP,A,1994,3.021806346,
OECD,QGDP,TOT,PC_CHGPP,A,1995,2.534765573,
OECD,QGDP,TOT,PC_CHGPP,A,1996,3.188306144,
OECD,QGDP,TOT,PC_CHGPP,A,1997,3.664445549,
OECD,QGDP,TOT,PC_CHGPP,A,1998,2.882097733,
OECD,QGDP,TOT,PC_CHGPP,A,1999,3.275856769,
OECD,QGDP,TOT,PC_CHGPP,A,2000,4.112691102,
OECD,QGDP,TOT,PC_CHGPP,A,2001,1.346129867,
OECD,QGDP,TOT,PC_CHGPP,A,2002,1.641844343,
OECD,QGDP,TOT,PC_CHGPP,A,2003,2.084061875,
OECD,QGDP,TOT,PC_CHGPP,A,2004,3.355557925,
OECD,QGDP,TOT,PC_CHGPP,A,2005,2.879394237,
OECD,QGDP,TOT,PC_CHGPP,A,2006,3.15946041,
OECD,QGDP,TOT,PC_CHGPP,A,2007,2.716692997,
OECD,QGDP,TOT,PC_CHGPP,A,2008,0.444456067,
OECD,QGDP,TOT,PC_CHGPP,A,2009,-3.400272976,
OECD,QGDP,TOT,PC_CHGPP,A,2010,3.113224197,
OECD,QGDP,TOT,PC_CHGPP,A,2011,2.094773454,
OECD,QGDP,TOT,PC_CHGPP,A,2012,1.400808451,
OECD,QGDP,TOT,PC_CHGPP,A,2013,1.593201878,
OECD,QGDP,TOT,PC_CHGPP,A,2014,2.125338072,
OECD,QGDP,TOT,PC_CHGPP,A,2015,2.546075031,
OECD,QGDP,TOT,PC_CHGPP,A,2016,1.893411714,
OECD,QGDP,TOT,PC_CHGPP,A,2017,2.621180858,
OECD,QGDP,TOT,PC_CHGPP,A,2018,2.372684088,
OECD,QGDP,TOT,PC_CHGPP,A,2019,1.722073121,
OECD,QGDP,TOT,PC_CHGPP,A,2020,-4.57915921,
