LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,LFPR,15_24,PC_AGE,A,1966,69.9087518,
AUS,LFPR,15_24,PC_AGE,A,1967,69.42414701,
AUS,LFPR,15_24,PC_AGE,A,1968,68.22223404,
AUS,LFPR,15_24,PC_AGE,A,1969,67.57773485,
AUS,LFPR,15_24,PC_AGE,A,1970,68.12164283,
AUS,LFPR,15_24,PC_AGE,A,1971,66.64285892,
AUS,LFPR,15_24,PC_AGE,A,1972,66.92447843,
AUS,LFPR,15_24,PC_AGE,A,1973,66.95249071,
AUS,LFPR,15_24,PC_AGE,A,1974,66.45291733,
AUS,LFPR,15_24,PC_AGE,A,1975,67.95519099,
AUS,LFPR,15_24,PC_AGE,A,1976,67.67850613,
AUS,LFPR,15_24,PC_AGE,A,1977,69.49857684,
AUS,LFPR,15_24,PC_AGE,A,1978,69.64899606,
AUS,LFPR,15_24,PC_AGE,A,1979,70.47377966,
AUS,LFPR,15_24,PC_AGE,A,1980,72.17492454,
AUS,LFPR,15_24,PC_AGE,A,1981,72.15848248,
AUS,LFPR,15_24,PC_AGE,A,1982,71.7531191,
AUS,LFPR,15_24,PC_AGE,A,1983,71.29005771,
AUS,LFPR,15_24,PC_AGE,A,1984,71.01967483,
AUS,LFPR,15_24,PC_AGE,A,1985,71.21646443,
AUS,LFPR,15_24,PC_AGE,A,1986,72.00670013,
AUS,LFPR,15_24,PC_AGE,A,1987,71.29461384,
AUS,LFPR,15_24,PC_AGE,A,1988,71.03819952,
AUS,LFPR,15_24,PC_AGE,A,1989,72.09397202,
AUS,LFPR,15_24,PC_AGE,A,1990,72.10324207,
AUS,LFPR,15_24,PC_AGE,A,1991,69.65710604,
AUS,LFPR,15_24,PC_AGE,A,1992,69.38630297,
AUS,LFPR,15_24,PC_AGE,A,1993,68.72549467,
AUS,LFPR,15_24,PC_AGE,A,1994,70.57588603,
AUS,LFPR,15_24,PC_AGE,A,1995,71.64055045,
AUS,LFPR,15_24,PC_AGE,A,1996,71.66327083,
AUS,LFPR,15_24,PC_AGE,A,1997,70.06003307,
AUS,LFPR,15_24,PC_AGE,A,1998,69.86996369,
AUS,LFPR,15_24,PC_AGE,A,1999,69.92459086,
AUS,LFPR,15_24,PC_AGE,A,2000,70.18178998,
AUS,LFPR,15_24,PC_AGE,A,2001,70.67147842,
AUS,LFPR,15_24,PC_AGE,A,2002,69.97592383,
AUS,LFPR,15_24,PC_AGE,A,2003,70.22201487,
AUS,LFPR,15_24,PC_AGE,A,2004,70.14034129,
AUS,LFPR,15_24,PC_AGE,A,2005,70.80997602,
AUS,LFPR,15_24,PC_AGE,A,2006,70.80132176,
AUS,LFPR,15_24,PC_AGE,A,2007,70.76035608,
AUS,LFPR,15_24,PC_AGE,A,2008,70.74747327,
AUS,LFPR,15_24,PC_AGE,A,2009,69.10039518,
AUS,LFPR,15_24,PC_AGE,A,2010,68.42488709,
AUS,LFPR,15_24,PC_AGE,A,2011,68.13944544,
AUS,LFPR,15_24,PC_AGE,A,2012,67.51922859,
AUS,LFPR,15_24,PC_AGE,A,2013,66.82256054,
AUS,LFPR,15_24,PC_AGE,A,2014,66.56252256,
AUS,LFPR,15_24,PC_AGE,A,2015,67.26496194,
AUS,LFPR,15_24,PC_AGE,A,2016,66.78562912,
AUS,LFPR,15_24,PC_AGE,A,2017,66.8940111,
AUS,LFPR,15_24,PC_AGE,A,2018,67.85063918,
AUS,LFPR,15_24,PC_AGE,A,2019,68.10555234,
AUS,LFPR,15_24,PC_AGE,A,2020,66.19232548,
AUS,LFPR,55_64,PC_AGE,A,1966,53.76016244,
AUS,LFPR,55_64,PC_AGE,A,1967,54.77933996,
AUS,LFPR,55_64,PC_AGE,A,1968,55.16150799,
AUS,LFPR,55_64,PC_AGE,A,1969,53.71954639,
AUS,LFPR,55_64,PC_AGE,A,1970,54.04348153,
AUS,LFPR,55_64,PC_AGE,A,1971,54.0010626,
AUS,LFPR,55_64,PC_AGE,A,1972,53.99024125,
AUS,LFPR,55_64,PC_AGE,A,1973,53.11049872,
AUS,LFPR,55_64,PC_AGE,A,1974,51.78920559,
AUS,LFPR,55_64,PC_AGE,A,1975,50.77616616,
AUS,LFPR,55_64,PC_AGE,A,1976,49.48554519,
AUS,LFPR,55_64,PC_AGE,A,1977,49.18545825,
AUS,LFPR,55_64,PC_AGE,A,1978,46.75593402,
AUS,LFPR,55_64,PC_AGE,A,1979,44.87585013,
AUS,LFPR,55_64,PC_AGE,A,1980,44.8790407,
AUS,LFPR,55_64,PC_AGE,A,1981,43.89570677,
AUS,LFPR,55_64,PC_AGE,A,1982,42.39243071,
AUS,LFPR,55_64,PC_AGE,A,1983,41.53676188,
AUS,LFPR,55_64,PC_AGE,A,1984,41.23894324,
AUS,LFPR,55_64,PC_AGE,A,1985,40.66712626,
AUS,LFPR,55_64,PC_AGE,A,1986,41.63765092,
AUS,LFPR,55_64,PC_AGE,A,1987,41.80325115,
AUS,LFPR,55_64,PC_AGE,A,1988,42.26074003,
AUS,LFPR,55_64,PC_AGE,A,1989,43.17698579,
AUS,LFPR,55_64,PC_AGE,A,1990,43.90030838,
AUS,LFPR,55_64,PC_AGE,A,1991,43.61672349,
AUS,LFPR,55_64,PC_AGE,A,1992,43.4731946,
AUS,LFPR,55_64,PC_AGE,A,1993,43.33923166,
AUS,LFPR,55_64,PC_AGE,A,1994,44.61023843,
AUS,LFPR,55_64,PC_AGE,A,1995,45.04536723,
AUS,LFPR,55_64,PC_AGE,A,1996,45.75526492,
AUS,LFPR,55_64,PC_AGE,A,1997,45.81812004,
AUS,LFPR,55_64,PC_AGE,A,1998,46.55413626,
AUS,LFPR,55_64,PC_AGE,A,1999,46.59315659,
AUS,LFPR,55_64,PC_AGE,A,2000,48.24447752,
AUS,LFPR,55_64,PC_AGE,A,2001,48.96915923,
AUS,LFPR,55_64,PC_AGE,A,2002,50.64832189,
AUS,LFPR,55_64,PC_AGE,A,2003,52.25704484,
AUS,LFPR,55_64,PC_AGE,A,2004,53.60999342,
AUS,LFPR,55_64,PC_AGE,A,2005,55.34271192,
AUS,LFPR,55_64,PC_AGE,A,2006,57.27057514,
AUS,LFPR,55_64,PC_AGE,A,2007,58.09882031,
AUS,LFPR,55_64,PC_AGE,A,2008,58.8533591,
AUS,LFPR,55_64,PC_AGE,A,2009,61.05894012,
AUS,LFPR,55_64,PC_AGE,A,2010,62.64436307,
AUS,LFPR,55_64,PC_AGE,A,2011,63.26392696,
AUS,LFPR,55_64,PC_AGE,A,2012,63.62826017,
AUS,LFPR,55_64,PC_AGE,A,2013,63.84208386,
AUS,LFPR,55_64,PC_AGE,A,2014,64.03970519,
AUS,LFPR,55_64,PC_AGE,A,2015,64.87788288,
AUS,LFPR,55_64,PC_AGE,A,2016,65.24063692,
AUS,LFPR,55_64,PC_AGE,A,2017,66.28614786,
AUS,LFPR,55_64,PC_AGE,A,2018,66.67382428,
AUS,LFPR,55_64,PC_AGE,A,2019,67.15386015,
AUS,LFPR,55_64,PC_AGE,A,2020,67.06822625,
AUS,LFPR,65MORE,PC_AGE,A,1966,12.49617229,
AUS,LFPR,65MORE,PC_AGE,A,1967,12.76381871,
AUS,LFPR,65MORE,PC_AGE,A,1968,11.81782116,
AUS,LFPR,65MORE,PC_AGE,A,1969,12.07995365,
AUS,LFPR,65MORE,PC_AGE,A,1970,11.5837885,
AUS,LFPR,65MORE,PC_AGE,A,1971,11.76688937,
AUS,LFPR,65MORE,PC_AGE,A,1972,11.75511702,
AUS,LFPR,65MORE,PC_AGE,A,1973,11.19257954,
AUS,LFPR,65MORE,PC_AGE,A,1974,10.20637246,
AUS,LFPR,65MORE,PC_AGE,A,1975,9.441119351,
AUS,LFPR,65MORE,PC_AGE,A,1976,8.169106059,
AUS,LFPR,65MORE,PC_AGE,A,1977,7.878017956,
AUS,LFPR,65MORE,PC_AGE,A,1978,6.836338896,
AUS,LFPR,65MORE,PC_AGE,A,1979,6.28114844,
AUS,LFPR,65MORE,PC_AGE,A,1980,6.361269358,
AUS,LFPR,65MORE,PC_AGE,A,1981,6.000329919,
AUS,LFPR,65MORE,PC_AGE,A,1982,5.446110341,
AUS,LFPR,65MORE,PC_AGE,A,1983,5.175383519,
AUS,LFPR,65MORE,PC_AGE,A,1984,5.187371391,
AUS,LFPR,65MORE,PC_AGE,A,1985,5.074535049,
AUS,LFPR,65MORE,PC_AGE,A,1986,5.049694943,
AUS,LFPR,65MORE,PC_AGE,A,1987,5.249057642,
AUS,LFPR,65MORE,PC_AGE,A,1988,5.403934229,
AUS,LFPR,65MORE,PC_AGE,A,1989,5.160923108,
AUS,LFPR,65MORE,PC_AGE,A,1990,5.305991187,
AUS,LFPR,65MORE,PC_AGE,A,1991,5.252389575,
AUS,LFPR,65MORE,PC_AGE,A,1992,5.212997668,
AUS,LFPR,65MORE,PC_AGE,A,1993,4.754221357,
AUS,LFPR,65MORE,PC_AGE,A,1994,5.300068571,
AUS,LFPR,65MORE,PC_AGE,A,1995,5.560481454,
AUS,LFPR,65MORE,PC_AGE,A,1996,5.580840995,
AUS,LFPR,65MORE,PC_AGE,A,1997,5.913052171,
AUS,LFPR,65MORE,PC_AGE,A,1998,5.964557605,
AUS,LFPR,65MORE,PC_AGE,A,1999,5.794021999,
AUS,LFPR,65MORE,PC_AGE,A,2000,6.075205072,
AUS,LFPR,65MORE,PC_AGE,A,2001,6.159228223,
AUS,LFPR,65MORE,PC_AGE,A,2002,6.444760133,
AUS,LFPR,65MORE,PC_AGE,A,2003,6.334109257,
AUS,LFPR,65MORE,PC_AGE,A,2004,6.557851497,
AUS,LFPR,65MORE,PC_AGE,A,2005,7.416445702,
AUS,LFPR,65MORE,PC_AGE,A,2006,7.857169802,
AUS,LFPR,65MORE,PC_AGE,A,2007,8.857345947,
AUS,LFPR,65MORE,PC_AGE,A,2008,9.390625052,
AUS,LFPR,65MORE,PC_AGE,A,2009,10.23311495,
AUS,LFPR,65MORE,PC_AGE,A,2010,10.79306507,
AUS,LFPR,65MORE,PC_AGE,A,2011,11.18760061,
AUS,LFPR,65MORE,PC_AGE,A,2012,11.98984666,
AUS,LFPR,65MORE,PC_AGE,A,2013,12.10701319,
AUS,LFPR,65MORE,PC_AGE,A,2014,12.36855868,
AUS,LFPR,65MORE,PC_AGE,A,2015,12.25908642,
AUS,LFPR,65MORE,PC_AGE,A,2016,12.63411533,
AUS,LFPR,65MORE,PC_AGE,A,2017,13.0026387,
AUS,LFPR,65MORE,PC_AGE,A,2018,13.98234606,
AUS,LFPR,65MORE,PC_AGE,A,2019,14.73087161,
AUS,LFPR,65MORE,PC_AGE,A,2020,14.18211817,
AUT,LFPR,15_24,PC_AGE,A,1994,62.25172967,
AUT,LFPR,15_24,PC_AGE,A,1995,60.334313,
AUT,LFPR,15_24,PC_AGE,A,1996,59.30217048,
AUT,LFPR,15_24,PC_AGE,A,1997,58.34981003,
AUT,LFPR,15_24,PC_AGE,A,1998,57.10748432,
AUT,LFPR,15_24,PC_AGE,A,1999,56.67223243,
AUT,LFPR,15_24,PC_AGE,A,2000,55.66927928,
AUT,LFPR,15_24,PC_AGE,A,2001,54.72188067,
AUT,LFPR,15_24,PC_AGE,A,2002,55.16772015,
AUT,LFPR,15_24,PC_AGE,A,2003,55.00718755,
AUT,LFPR,15_24,PC_AGE,A,2004,56.70513258,
AUT,LFPR,15_24,PC_AGE,A,2005,58.00229939,
AUT,LFPR,15_24,PC_AGE,A,2006,57.92826407,
AUT,LFPR,15_24,PC_AGE,A,2007,59.42075366,
AUT,LFPR,15_24,PC_AGE,A,2008,59.51613857,
AUT,LFPR,15_24,PC_AGE,A,2009,59.50143313,
AUT,LFPR,15_24,PC_AGE,A,2010,58.27609377,
AUT,LFPR,15_24,PC_AGE,A,2011,59.19578409,
AUT,LFPR,15_24,PC_AGE,A,2012,59.24011764,
AUT,LFPR,15_24,PC_AGE,A,2013,58.77500169,
AUT,LFPR,15_24,PC_AGE,A,2014,58.0279204,
AUT,LFPR,15_24,PC_AGE,A,2015,57.42781985,
AUT,LFPR,15_24,PC_AGE,A,2016,57.46733389,
AUT,LFPR,15_24,PC_AGE,A,2017,56.08614835,
AUT,LFPR,15_24,PC_AGE,A,2018,56.65275111,
AUT,LFPR,15_24,PC_AGE,A,2019,56.41838687,
