"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","M","2004-06",5.463927,
"AUS","HUR","TOT","PC_LF","M","2004-07",5.550618,
"AUS","HUR","TOT","PC_LF","M","2004-08",5.518285,
"AUS","HUR","TOT","PC_LF","M","2004-09",5.371313,
"AUS","HUR","TOT","PC_LF","M","2004-10",5.123315,
"AUS","HUR","TOT","PC_LF","M","2004-11",5.161841,
"AUS","HUR","TOT","PC_LF","M","2004-12",5.06918,
"AUS","HUR","TOT","PC_LF","M","2005-01",5.073943,
"AUS","HUR","TOT","PC_LF","M","2005-02",5.084952,
"AUS","HUR","TOT","PC_LF","M","2005-03",5.163433,
"AUS","HUR","TOT","PC_LF","M","2005-04",5.122719,
"AUS","HUR","TOT","PC_LF","M","2005-05",5.09976,
"AUS","HUR","TOT","PC_LF","M","2005-06",4.950585,
"AUS","HUR","TOT","PC_LF","M","2005-07",4.972316,
"AUS","HUR","TOT","PC_LF","M","2005-08",4.90223,
"AUS","HUR","TOT","PC_LF","M","2005-09",5.002699,
"AUS","HUR","TOT","PC_LF","M","2005-10",5.016237,
"AUS","HUR","TOT","PC_LF","M","2005-11",4.937883,
"AUS","HUR","TOT","PC_LF","M","2005-12",5.070729,
"AUS","HUR","TOT","PC_LF","M","2006-01",5.163074,
"AUS","HUR","TOT","PC_LF","M","2006-02",5.104731,
"AUS","HUR","TOT","PC_LF","M","2006-03",4.867808,
"AUS","HUR","TOT","PC_LF","M","2006-04",4.966633,
"AUS","HUR","TOT","PC_LF","M","2006-05",4.798375,
"AUS","HUR","TOT","PC_LF","M","2006-06",4.80865,
"AUS","HUR","TOT","PC_LF","M","2006-07",4.657098,
"AUS","HUR","TOT","PC_LF","M","2006-08",4.712996,
"AUS","HUR","TOT","PC_LF","M","2006-09",4.666584,
"AUS","HUR","TOT","PC_LF","M","2006-10",4.463761,
"AUS","HUR","TOT","PC_LF","M","2006-11",4.515551,
"AUS","HUR","TOT","PC_LF","M","2006-12",4.568745,
"AUS","HUR","TOT","PC_LF","M","2007-01",4.554461,
"AUS","HUR","TOT","PC_LF","M","2007-02",4.635766,
"AUS","HUR","TOT","PC_LF","M","2007-03",4.460355,
"AUS","HUR","TOT","PC_LF","M","2007-04",4.386716,
"AUS","HUR","TOT","PC_LF","M","2007-05",4.264652,
"AUS","HUR","TOT","PC_LF","M","2007-06",4.324534,
"AUS","HUR","TOT","PC_LF","M","2007-07",4.253764,
"AUS","HUR","TOT","PC_LF","M","2007-08",4.300023,
"AUS","HUR","TOT","PC_LF","M","2007-09",4.213625,
"AUS","HUR","TOT","PC_LF","M","2007-10",4.326964,
"AUS","HUR","TOT","PC_LF","M","2007-11",4.427281,
"AUS","HUR","TOT","PC_LF","M","2007-12",4.309258,
"AUS","HUR","TOT","PC_LF","M","2008-01",4.220363,
"AUS","HUR","TOT","PC_LF","M","2008-02",3.980665,
"AUS","HUR","TOT","PC_LF","M","2008-03",4.057759,
"AUS","HUR","TOT","PC_LF","M","2008-04",4.266157,
"AUS","HUR","TOT","PC_LF","M","2008-05",4.266537,
"AUS","HUR","TOT","PC_LF","M","2008-06",4.244041,
"AUS","HUR","TOT","PC_LF","M","2008-07",4.250825,
"AUS","HUR","TOT","PC_LF","M","2008-08",4.016065,
"AUS","HUR","TOT","PC_LF","M","2008-09",4.289472,
"AUS","HUR","TOT","PC_LF","M","2008-10",4.290785,
"AUS","HUR","TOT","PC_LF","M","2008-11",4.463158,
"AUS","HUR","TOT","PC_LF","M","2008-12",4.570849,
"AUS","HUR","TOT","PC_LF","M","2009-01",4.907089,
"AUS","HUR","TOT","PC_LF","M","2009-02",5.305303,
"AUS","HUR","TOT","PC_LF","M","2009-03",5.712081,
"AUS","HUR","TOT","PC_LF","M","2009-04",5.513752,
"AUS","HUR","TOT","PC_LF","M","2009-05",5.811921,
"AUS","HUR","TOT","PC_LF","M","2009-06",5.861694,
"AUS","HUR","TOT","PC_LF","M","2009-07",5.673324,
"AUS","HUR","TOT","PC_LF","M","2009-08",5.716057,
"AUS","HUR","TOT","PC_LF","M","2009-09",5.661419,
"AUS","HUR","TOT","PC_LF","M","2009-10",5.623994,
"AUS","HUR","TOT","PC_LF","M","2009-11",5.558877,
"AUS","HUR","TOT","PC_LF","M","2009-12",5.492019,
"AUS","HUR","TOT","PC_LF","M","2010-01",5.265391,
"AUS","HUR","TOT","PC_LF","M","2010-02",5.302166,
"AUS","HUR","TOT","PC_LF","M","2010-03",5.423225,
"AUS","HUR","TOT","PC_LF","M","2010-04",5.498853,
"AUS","HUR","TOT","PC_LF","M","2010-05",5.229075,
"AUS","HUR","TOT","PC_LF","M","2010-06",5.144324,
"AUS","HUR","TOT","PC_LF","M","2010-07",5.289241,
"AUS","HUR","TOT","PC_LF","M","2010-08",5.033833,
"AUS","HUR","TOT","PC_LF","M","2010-09",5.053991,
"AUS","HUR","TOT","PC_LF","M","2010-10",5.285569,
"AUS","HUR","TOT","PC_LF","M","2010-11",5.109222,
"AUS","HUR","TOT","PC_LF","M","2010-12",4.877974,
"AUS","HUR","TOT","PC_LF","M","2011-01",5.003208,
"AUS","HUR","TOT","PC_LF","M","2011-02",4.976664,
"AUS","HUR","TOT","PC_LF","M","2011-03",4.926612,
