"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","Q","2004-Q3",5.480072,
"AUS","HUR","TOT","PC_LF","Q","2004-Q4",5.118112,
"AUS","HUR","TOT","PC_LF","Q","2005-Q1",5.107442,
"AUS","HUR","TOT","PC_LF","Q","2005-Q2",5.057688,
"AUS","HUR","TOT","PC_LF","Q","2005-Q3",4.959082,
"AUS","HUR","TOT","PC_LF","Q","2005-Q4",5.008283,
"AUS","HUR","TOT","PC_LF","Q","2006-Q1",5.045204,
"AUS","HUR","TOT","PC_LF","Q","2006-Q2",4.857886,
"AUS","HUR","TOT","PC_LF","Q","2006-Q3",4.678893,
"AUS","HUR","TOT","PC_LF","Q","2006-Q4",4.516019,
"AUS","HUR","TOT","PC_LF","Q","2007-Q1",4.550194,
"AUS","HUR","TOT","PC_LF","Q","2007-Q2",4.325301,
"AUS","HUR","TOT","PC_LF","Q","2007-Q3",4.255804,
"AUS","HUR","TOT","PC_LF","Q","2007-Q4",4.354501,
"AUS","HUR","TOT","PC_LF","Q","2008-Q1",4.086262,
"AUS","HUR","TOT","PC_LF","Q","2008-Q2",4.258912,
"AUS","HUR","TOT","PC_LF","Q","2008-Q3",4.185454,
"AUS","HUR","TOT","PC_LF","Q","2008-Q4",4.441597,
"AUS","HUR","TOT","PC_LF","Q","2009-Q1",5.308158,
"AUS","HUR","TOT","PC_LF","Q","2009-Q2",5.729122,
"AUS","HUR","TOT","PC_LF","Q","2009-Q3",5.6836,
"AUS","HUR","TOT","PC_LF","Q","2009-Q4",5.558297,
"AUS","HUR","TOT","PC_LF","Q","2010-Q1",5.330261,
"AUS","HUR","TOT","PC_LF","Q","2010-Q2",5.290751,
"AUS","HUR","TOT","PC_LF","Q","2010-Q3",5.125689,
"AUS","HUR","TOT","PC_LF","Q","2010-Q4",5.090922,
"AUS","HUR","TOT","PC_LF","Q","2011-Q1",4.968828,
"AUS","HUR","TOT","PC_LF","Q","2011-Q2",4.962715,
"AUS","HUR","TOT","PC_LF","Q","2011-Q3",5.195236,
"AUS","HUR","TOT","PC_LF","Q","2011-Q4",5.206195,
"AUS","HUR","TOT","PC_LF","Q","2012-Q1",5.143189,
"AUS","HUR","TOT","PC_LF","Q","2012-Q2",5.118598,
"AUS","HUR","TOT","PC_LF","Q","2012-Q3",5.274949,
"AUS","HUR","TOT","PC_LF","Q","2012-Q4",5.368124,
"AUS","HUR","TOT","PC_LF","Q","2013-Q1",5.478169,
"AUS","HUR","TOT","PC_LF","Q","2013-Q2",5.630478,
"AUS","HUR","TOT","PC_LF","Q","2013-Q3",5.725965,
"AUS","HUR","TOT","PC_LF","Q","2013-Q4",5.842445,
"AUS","HUR","TOT","PC_LF","Q","2014-Q1",5.900076,
"AUS","HUR","TOT","PC_LF","Q","2014-Q2",5.927072,
